tanggal,kode_pelanggan,nama_pelanggan,kode_produk,nama_produk,qty,harga_satuan,total_penjualan,diskon,penjualan_bersih
2024-01-01,C005,PT Sentosa,PRD01,Produk A,8,50000,400000,40000,360000
2024-01-01,C003,PT Jaya,PRD02,Produk B,9,75000,675000,67500,607500
2024-01-02,C005,PT Sentosa,PRD03,Produk C,9,120000,1080000,54000,1026000
2024-01-03,C004,PT Abadi,PRD01,Produk A,22,50000,1100000,110000,990000
2024-01-03,C001,PT Sinar,PRD03,Produk C,2,120000,240000,12000,228000
2024-01-03,C004,PT Abadi,PRD02,Produk B,1,75000,75000,7500,67500
2024-01-03,C004,PT Abadi,PRD01,Produk A,22,50000,1100000,110000,990000
2024-01-03,C005,PT Sentosa,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-01-03,C001,PT Sinar,PRD03,Produk C,5,120000,600000,30000,570000
2024-01-03,C004,PT Abadi,PRD02,Produk B,16,75000,1200000,120000,1080000
2024-01-03,C003,PT Jaya,PRD03,Produk C,9,120000,1080000,54000,1026000
2024-01-04,C003,PT Jaya,PRD02,Produk B,6,75000,450000,45000,405000
2024-01-04,C002,PT Mulia,PRD02,Produk B,3,75000,225000,22500,202500
2024-01-04,C002,PT Mulia,PRD02,Produk B,5,75000,375000,37500,337500
2024-01-04,C001,PT Sinar,PRD01,Produk A,3,50000,150000,15000,135000
2024-01-04,C004,PT Abadi,PRD01,Produk A,4,50000,200000,20000,180000
2024-01-04,C003,PT Jaya,PRD03,Produk C,7,120000,840000,42000,798000
2024-01-04,C003,PT Jaya,PRD03,Produk C,6,120000,720000,36000,684000
2024-01-05,C001,PT Sinar,PRD03,Produk C,20,120000,2400000,120000,2280000
2024-01-05,C005,PT Sentosa,PRD02,Produk B,7,75000,525000,52500,472500
2024-01-05,C001,PT Sinar,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-01-05,C005,PT Sentosa,PRD02,Produk B,6,75000,450000,45000,405000
2024-01-06,C002,PT Mulia,PRD03,Produk C,1,120000,120000,6000,114000
2024-01-06,C004,PT Abadi,PRD03,Produk C,4,120000,480000,24000,456000
2024-01-06,C001,PT Sinar,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-01-06,C004,PT Abadi,PRD02,Produk B,4,75000,300000,30000,270000
2024-01-07,C004,PT Abadi,PRD02,Produk B,9,75000,675000,67500,607500
2024-01-07,C004,PT Abadi,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-01-07,C004,PT Abadi,PRD03,Produk C,9,120000,1080000,54000,1026000
2024-01-08,C005,PT Sentosa,PRD02,Produk B,7,75000,525000,52500,472500
2024-01-08,C001,PT Sinar,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-01-09,C005,PT Sentosa,PRD03,Produk C,13,120000,1560000,78000,1482000
2024-01-10,C001,PT Sinar,PRD03,Produk C,2,120000,240000,12000,228000
2024-01-10,C002,PT Mulia,PRD01,Produk A,11,50000,550000,55000,495000
2024-01-10,C004,PT Abadi,PRD03,Produk C,21,120000,2520000,126000,2394000
2024-01-10,C003,PT Jaya,PRD02,Produk B,25,75000,1875000,187500,1687500
2024-01-11,C001,PT Sinar,PRD01,Produk A,20,50000,1000000,100000,900000
2024-01-11,C003,PT Jaya,PRD01,Produk A,9,50000,450000,45000,405000
2024-01-11,C005,PT Sentosa,PRD03,Produk C,8,120000,960000,48000,912000
2024-01-11,C003,PT Jaya,PRD02,Produk B,8,75000,600000,60000,540000
2024-01-12,C002,PT Mulia,PRD03,Produk C,6,120000,720000,36000,684000
2024-01-12,C002,PT Mulia,PRD01,Produk A,25,50000,1250000,125000,1125000
2024-01-12,C001,PT Sinar,PRD02,Produk B,25,75000,1875000,187500,1687500
2024-01-12,C001,PT Sinar,PRD03,Produk C,5,120000,600000,30000,570000
2024-01-13,C005,PT Sentosa,PRD01,Produk A,23,50000,1150000,115000,1035000
2024-01-13,C003,PT Jaya,PRD01,Produk A,24,50000,1200000,120000,1080000
2024-01-13,C004,PT Abadi,PRD01,Produk A,21,50000,1050000,105000,945000
2024-01-14,C001,PT Sinar,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-01-14,C002,PT Mulia,PRD03,Produk C,23,120000,2760000,138000,2622000
2024-01-14,C004,PT Abadi,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-01-15,C003,PT Jaya,PRD01,Produk A,15,50000,750000,75000,675000
2024-01-15,C004,PT Abadi,PRD03,Produk C,1,120000,120000,6000,114000
2024-01-15,C002,PT Mulia,PRD02,Produk B,9,75000,675000,67500,607500
2024-01-18,C005,PT Sentosa,PRD01,Produk A,16,50000,800000,80000,720000
2024-01-18,C005,PT Sentosa,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-01-19,C002,PT Mulia,PRD01,Produk A,21,50000,1050000,105000,945000
2024-01-20,C005,PT Sentosa,PRD02,Produk B,13,75000,975000,97500,877500
2024-01-20,C002,PT Mulia,PRD02,Produk B,2,75000,150000,15000,135000
2024-01-21,C005,PT Sentosa,PRD02,Produk B,8,75000,600000,60000,540000
2024-01-22,C003,PT Jaya,PRD01,Produk A,16,50000,800000,80000,720000
2024-01-22,C005,PT Sentosa,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-01-22,C001,PT Sinar,PRD03,Produk C,22,120000,2640000,132000,2508000
2024-01-23,C004,PT Abadi,PRD01,Produk A,5,50000,250000,25000,225000
2024-01-23,C003,PT Jaya,PRD03,Produk C,6,120000,720000,36000,684000
2024-01-24,C001,PT Sinar,PRD01,Produk A,3,50000,150000,15000,135000
2024-01-25,C001,PT Sinar,PRD03,Produk C,16,120000,1920000,96000,1824000
2024-01-25,C005,PT Sentosa,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-01-26,C001,PT Sinar,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-01-26,C002,PT Mulia,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-01-27,C001,PT Sinar,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-01-28,C001,PT Sinar,PRD02,Produk B,2,75000,150000,15000,135000
2024-01-28,C004,PT Abadi,PRD02,Produk B,20,75000,1500000,150000,1350000
2024-01-28,C005,PT Sentosa,PRD03,Produk C,5,120000,600000,30000,570000
2024-01-29,C005,PT Sentosa,PRD01,Produk A,5,50000,250000,25000,225000
2024-01-30,C003,PT Jaya,PRD02,Produk B,21,75000,1575000,157500,1417500
2024-01-30,C005,PT Sentosa,PRD01,Produk A,22,50000,1100000,110000,990000
2024-01-31,C002,PT Mulia,PRD02,Produk B,3,75000,225000,22500,202500
2024-01-31,C005,PT Sentosa,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-02-01,C003,PT Jaya,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-02-02,C004,PT Abadi,PRD03,Produk C,20,120000,2400000,120000,2280000
2024-02-02,C003,PT Jaya,PRD01,Produk A,21,50000,1050000,105000,945000
2024-02-03,C003,PT Jaya,PRD01,Produk A,14,50000,700000,70000,630000
2024-02-03,C002,PT Mulia,PRD03,Produk C,20,120000,2400000,120000,2280000
2024-02-04,C001,PT Sinar,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-02-04,C002,PT Mulia,PRD03,Produk C,25,120000,3000000,150000,2850000
2024-02-04,C002,PT Mulia,PRD02,Produk B,5,75000,375000,37500,337500
2024-02-04,C005,PT Sentosa,PRD03,Produk C,2,120000,240000,12000,228000
2024-02-05,C005,PT Sentosa,PRD02,Produk B,12,75000,900000,90000,810000
2024-02-05,C002,PT Mulia,PRD01,Produk A,6,50000,300000,30000,270000
2024-02-06,C002,PT Mulia,PRD01,Produk A,17,50000,850000,85000,765000
2024-02-06,C005,PT Sentosa,PRD01,Produk A,3,50000,150000,15000,135000
2024-02-07,C005,PT Sentosa,PRD03,Produk C,10,120000,1200000,60000,1140000
2024-02-07,C003,PT Jaya,PRD02,Produk B,3,75000,225000,22500,202500
2024-02-08,C005,PT Sentosa,PRD01,Produk A,11,50000,550000,55000,495000
2024-02-08,C005,PT Sentosa,PRD01,Produk A,12,50000,600000,60000,540000
2024-02-09,C001,PT Sinar,PRD02,Produk B,17,75000,1275000,127500,1147500
2024-02-09,C003,PT Jaya,PRD01,Produk A,5,50000,250000,25000,225000
2024-02-09,C004,PT Abadi,PRD03,Produk C,14,120000,1680000,84000,1596000
2024-02-11,C002,PT Mulia,PRD03,Produk C,11,120000,1320000,66000,1254000
2024-02-11,C004,PT Abadi,PRD02,Produk B,8,75000,600000,60000,540000
2024-02-12,C003,PT Jaya,PRD03,Produk C,10,120000,1200000,60000,1140000
2024-02-12,C004,PT Abadi,PRD03,Produk C,16,120000,1920000,96000,1824000
2024-02-12,C005,PT Sentosa,PRD01,Produk A,9,50000,450000,45000,405000
2024-02-12,C002,PT Mulia,PRD03,Produk C,11,120000,1320000,66000,1254000
2024-02-13,C003,PT Jaya,PRD01,Produk A,2,50000,100000,10000,90000
2024-02-13,C005,PT Sentosa,PRD01,Produk A,7,50000,350000,35000,315000
2024-02-13,C004,PT Abadi,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-02-13,C003,PT Jaya,PRD02,Produk B,5,75000,375000,37500,337500
2024-02-14,C002,PT Mulia,PRD01,Produk A,13,50000,650000,65000,585000
2024-02-15,C004,PT Abadi,PRD01,Produk A,17,50000,850000,85000,765000
2024-02-15,C005,PT Sentosa,PRD01,Produk A,7,50000,350000,35000,315000
2024-02-16,C001,PT Sinar,PRD03,Produk C,18,120000,2160000,108000,2052000
2024-02-16,C005,PT Sentosa,PRD02,Produk B,21,75000,1575000,157500,1417500
2024-02-16,C003,PT Jaya,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-02-17,C001,PT Sinar,PRD01,Produk A,1,50000,50000,5000,45000
2024-02-17,C003,PT Jaya,PRD01,Produk A,11,50000,550000,55000,495000
2024-02-17,C001,PT Sinar,PRD03,Produk C,11,120000,1320000,66000,1254000
2024-02-18,C004,PT Abadi,PRD02,Produk B,17,75000,1275000,127500,1147500
2024-02-18,C001,PT Sinar,PRD01,Produk A,4,50000,200000,20000,180000
2024-02-19,C002,PT Mulia,PRD03,Produk C,2,120000,240000,12000,228000
2024-02-20,C005,PT Sentosa,PRD03,Produk C,5,120000,600000,30000,570000
2024-02-20,C005,PT Sentosa,PRD01,Produk A,13,50000,650000,65000,585000
2024-02-20,C002,PT Mulia,PRD03,Produk C,6,120000,720000,36000,684000
2024-02-21,C004,PT Abadi,PRD03,Produk C,19,120000,2280000,114000,2166000
2024-02-21,C004,PT Abadi,PRD02,Produk B,5,75000,375000,37500,337500
2024-02-21,C004,PT Abadi,PRD02,Produk B,3,75000,225000,22500,202500
2024-02-21,C001,PT Sinar,PRD03,Produk C,23,120000,2760000,138000,2622000
2024-02-23,C001,PT Sinar,PRD03,Produk C,5,120000,600000,30000,570000
2024-02-23,C003,PT Jaya,PRD03,Produk C,8,120000,960000,48000,912000
2024-02-23,C003,PT Jaya,PRD01,Produk A,9,50000,450000,45000,405000
2024-02-23,C002,PT Mulia,PRD03,Produk C,11,120000,1320000,66000,1254000
2024-02-24,C001,PT Sinar,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-02-24,C003,PT Jaya,PRD02,Produk B,16,75000,1200000,120000,1080000
2024-02-25,C004,PT Abadi,PRD03,Produk C,9,120000,1080000,54000,1026000
2024-02-25,C005,PT Sentosa,PRD02,Produk B,16,75000,1200000,120000,1080000
2024-02-25,C004,PT Abadi,PRD02,Produk B,19,75000,1425000,142500,1282500
2024-02-25,C004,PT Abadi,PRD02,Produk B,16,75000,1200000,120000,1080000
2024-02-26,C003,PT Jaya,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-02-26,C004,PT Abadi,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-02-26,C001,PT Sinar,PRD03,Produk C,14,120000,1680000,84000,1596000
2024-02-26,C004,PT Abadi,PRD03,Produk C,20,120000,2400000,120000,2280000
2024-02-27,C003,PT Jaya,PRD01,Produk A,11,50000,550000,55000,495000
2024-02-27,C004,PT Abadi,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-02-27,C004,PT Abadi,PRD02,Produk B,13,75000,975000,97500,877500
2024-02-27,C004,PT Abadi,PRD03,Produk C,22,120000,2640000,132000,2508000
2024-02-28,C002,PT Mulia,PRD01,Produk A,25,50000,1250000,125000,1125000
2024-03-01,C004,PT Abadi,PRD01,Produk A,12,50000,600000,60000,540000
2024-03-01,C005,PT Sentosa,PRD01,Produk A,14,50000,700000,70000,630000
2024-03-01,C002,PT Mulia,PRD01,Produk A,21,50000,1050000,105000,945000
2024-03-01,C002,PT Mulia,PRD02,Produk B,15,75000,1125000,112500,1012500
2024-03-01,C001,PT Sinar,PRD02,Produk B,5,75000,375000,37500,337500
2024-03-02,C002,PT Mulia,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-03-02,C004,PT Abadi,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-03-02,C002,PT Mulia,PRD02,Produk B,15,75000,1125000,112500,1012500
2024-03-03,C001,PT Sinar,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-03-03,C002,PT Mulia,PRD01,Produk A,9,50000,450000,45000,405000
2024-03-04,C003,PT Jaya,PRD01,Produk A,11,50000,550000,55000,495000
2024-03-04,C002,PT Mulia,PRD03,Produk C,7,120000,840000,42000,798000
2024-03-04,C005,PT Sentosa,PRD02,Produk B,11,75000,825000,82500,742500
2024-03-05,C001,PT Sinar,PRD03,Produk C,19,120000,2280000,114000,2166000
2024-03-05,C004,PT Abadi,PRD03,Produk C,5,120000,600000,30000,570000
2024-03-06,C001,PT Sinar,PRD02,Produk B,7,75000,525000,52500,472500
2024-03-06,C001,PT Sinar,PRD03,Produk C,17,120000,2040000,102000,1938000
2024-03-06,C005,PT Sentosa,PRD01,Produk A,9,50000,450000,45000,405000
2024-03-06,C004,PT Abadi,PRD03,Produk C,16,120000,1920000,96000,1824000
2024-03-08,C002,PT Mulia,PRD01,Produk A,20,50000,1000000,100000,900000
2024-03-09,C002,PT Mulia,PRD01,Produk A,9,50000,450000,45000,405000
2024-03-09,C003,PT Jaya,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-03-09,C003,PT Jaya,PRD03,Produk C,5,120000,600000,30000,570000
2024-03-10,C001,PT Sinar,PRD03,Produk C,7,120000,840000,42000,798000
2024-03-10,C001,PT Sinar,PRD01,Produk A,3,50000,150000,15000,135000
2024-03-10,C003,PT Jaya,PRD01,Produk A,23,50000,1150000,115000,1035000
2024-03-10,C003,PT Jaya,PRD03,Produk C,19,120000,2280000,114000,2166000
2024-03-11,C005,PT Sentosa,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-03-11,C003,PT Jaya,PRD02,Produk B,19,75000,1425000,142500,1282500
2024-03-12,C003,PT Jaya,PRD01,Produk A,4,50000,200000,20000,180000
2024-03-13,C004,PT Abadi,PRD02,Produk B,23,75000,1725000,172500,1552500
2024-03-13,C002,PT Mulia,PRD03,Produk C,22,120000,2640000,132000,2508000
2024-03-13,C003,PT Jaya,PRD01,Produk A,17,50000,850000,85000,765000
2024-03-13,C005,PT Sentosa,PRD02,Produk B,4,75000,300000,30000,270000
2024-03-14,C005,PT Sentosa,PRD01,Produk A,23,50000,1150000,115000,1035000
2024-03-14,C005,PT Sentosa,PRD01,Produk A,21,50000,1050000,105000,945000
2024-03-16,C004,PT Abadi,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-03-17,C005,PT Sentosa,PRD03,Produk C,6,120000,720000,36000,684000
2024-03-17,C001,PT Sinar,PRD01,Produk A,6,50000,300000,30000,270000
2024-03-18,C005,PT Sentosa,PRD03,Produk C,1,120000,120000,6000,114000
2024-03-18,C001,PT Sinar,PRD02,Produk B,16,75000,1200000,120000,1080000
2024-03-18,C001,PT Sinar,PRD01,Produk A,19,50000,950000,95000,855000
2024-03-18,C005,PT Sentosa,PRD01,Produk A,19,50000,950000,95000,855000
2024-03-19,C005,PT Sentosa,PRD01,Produk A,20,50000,1000000,100000,900000
2024-03-19,C005,PT Sentosa,PRD01,Produk A,1,50000,50000,5000,45000
2024-03-19,C002,PT Mulia,PRD02,Produk B,20,75000,1500000,150000,1350000
2024-03-19,C001,PT Sinar,PRD01,Produk A,14,50000,700000,70000,630000
2024-03-19,C002,PT Mulia,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-03-19,C003,PT Jaya,PRD02,Produk B,10,75000,750000,75000,675000
2024-03-20,C001,PT Sinar,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-03-20,C005,PT Sentosa,PRD01,Produk A,1,50000,50000,5000,45000
2024-03-20,C005,PT Sentosa,PRD02,Produk B,3,75000,225000,22500,202500
2024-03-22,C004,PT Abadi,PRD01,Produk A,17,50000,850000,85000,765000
2024-03-23,C002,PT Mulia,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-03-23,C004,PT Abadi,PRD02,Produk B,7,75000,525000,52500,472500
2024-03-23,C003,PT Jaya,PRD01,Produk A,13,50000,650000,65000,585000
2024-03-24,C005,PT Sentosa,PRD02,Produk B,9,75000,675000,67500,607500
2024-03-24,C003,PT Jaya,PRD03,Produk C,3,120000,360000,18000,342000
2024-03-25,C003,PT Jaya,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-03-25,C001,PT Sinar,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-03-25,C005,PT Sentosa,PRD01,Produk A,16,50000,800000,80000,720000
2024-03-26,C005,PT Sentosa,PRD03,Produk C,16,120000,1920000,96000,1824000
2024-03-26,C004,PT Abadi,PRD01,Produk A,7,50000,350000,35000,315000
2024-03-28,C003,PT Jaya,PRD02,Produk B,6,75000,450000,45000,405000
2024-03-28,C004,PT Abadi,PRD02,Produk B,3,75000,225000,22500,202500
2024-03-28,C004,PT Abadi,PRD01,Produk A,13,50000,650000,65000,585000
2024-03-28,C002,PT Mulia,PRD03,Produk C,14,120000,1680000,84000,1596000
2024-03-29,C002,PT Mulia,PRD03,Produk C,5,120000,600000,30000,570000
2024-03-30,C002,PT Mulia,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-03-30,C002,PT Mulia,PRD01,Produk A,25,50000,1250000,125000,1125000
2024-03-30,C002,PT Mulia,PRD03,Produk C,17,120000,2040000,102000,1938000
2024-03-30,C003,PT Jaya,PRD03,Produk C,4,120000,480000,24000,456000
2024-03-30,C004,PT Abadi,PRD01,Produk A,23,50000,1150000,115000,1035000
2024-03-30,C002,PT Mulia,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-03-31,C002,PT Mulia,PRD01,Produk A,20,50000,1000000,100000,900000
2024-03-31,C001,PT Sinar,PRD03,Produk C,8,120000,960000,48000,912000
2024-03-31,C005,PT Sentosa,PRD01,Produk A,17,50000,850000,85000,765000
2024-03-31,C003,PT Jaya,PRD01,Produk A,7,50000,350000,35000,315000
