Tanggal,Nama_Barang,Tipe_Transaksi,Kuantitas,Satuan,DayOfWeek,NamaHari,DayType,TxOrder,TotalPerDay,WaktuRatio,Waktu,Kategori
2025-01-02 00:00:00,BOX LAPTOP NEW (S),Faktur Penjualan,5,UNIT,3,Thursday,Weekday,0,7,0,Pagi,Notebook/Laptop
2025-01-02 00:00:00,FLASHDISK BLADE CZ50 16GB SANDISK (DR-P),Faktur Penjualan,1,UNIT,3,Thursday,Weekday,1,7,0.142857142857143,Pagi,Aksesoris/Komponen
2025-01-02 00:00:00,JASA SERVICE CPU,Faktur Penjualan,1,UNIT,3,Thursday,Weekday,2,7,0.285714285714286,Pagi,Jasa Service
2025-01-02 00:00:00,MOUSE LOGITECH WIRELESS M170 (S),Faktur Penjualan,1,UNIT,3,Thursday,Weekday,3,7,0.428571428571429,Siang,Aksesoris/Komponen
2025-01-02 00:00:00,NB LENOVO IP 5 R5-5500U 8/512GB FHD W10 (SN-P),Faktur Penjualan,1,UNIT,3,Thursday,Weekday,4,7,0.571428571428571,Siang,Notebook/Laptop
2025-01-02 00:00:00,SAMSUNG GALAXY A35 5G 8/256 (P),Faktur Penjualan,1,UNIT,3,Thursday,Weekday,5,7,0.714285714285714,Sore,Smartphone
2025-01-02 00:00:00,SAMSUNG GALAXY TAB A9 PLUS 8/128 (P),Faktur Penjualan,1,UNIT,3,Thursday,Weekday,6,7,0.857142857142857,Sore,Smartphone
2025-01-03 00:00:00,ADAPTOR BASEUS DUAL PORT USB 10.5W (S),Faktur Penjualan,5,UNIT,4,Friday,Weekday,0,17,0,Pagi,Aksesoris/Komponen
2025-01-03 00:00:00,AXIOO MYBOOK PRO K5V (16N9) CI5-11357 16GB/1TB/RTX3050/W10 (SN-P),Faktur Penjualan,6,UNIT,4,Friday,Weekday,1,17,0.0588235294117647,Pagi,Notebook/Laptop
2025-01-03 00:00:00,BRACKET PROJECTOR (S),Faktur Penjualan,1,UNIT,4,Friday,Weekday,2,17,0.117647058823529,Pagi,Aksesoris/Komponen
2025-01-03 00:00:00,FLASHDISK BLADE CZ50 32GB SANDISK (DR-P),Faktur Penjualan,1,UNIT,4,Friday,Weekday,3,17,0.176470588235294,Pagi,Aksesoris/Komponen
2025-01-03 00:00:00,KABEL HIKVISION CAT 6 DS-1LN6UG (S),Faktur Penjualan,1,UNIT,4,Friday,Weekday,4,17,0.235294117647059,Pagi,Aksesoris/Komponen
2025-01-03 00:00:00,KABEL SPEAKER 2X1.5 1ROLL (S),Faktur Penjualan,1,UNIT,4,Friday,Weekday,5,17,0.294117647058824,Pagi,Aksesoris/Komponen
2025-01-03 00:00:00,KRISBOW 43.2 CM MESIN SRUBBER & POLISHER (S),Faktur Penjualan,1,UNIT,4,Friday,Weekday,6,17,0.352941176470588,Siang,Elektronik Rumah
2025-01-03 00:00:00,MEAT SLICER CROWN 300ES-12 (P),Faktur Penjualan,1,UNIT,4,Friday,Weekday,7,17,0.411764705882353,Siang,Perangkat/Gadget
2025-01-03 00:00:00,MESIN STEAM PRESS DIGITAL (S),Faktur Penjualan,1,UNIT,4,Friday,Weekday,8,17,0.470588235294118,Siang,Elektronik Rumah
2025-01-03 00:00:00,MIC BETAVO C-19 (S),Faktur Penjualan,5,UNIT,4,Friday,Weekday,9,17,0.529411764705882,Siang,Aksesoris/Komponen
2025-01-03 00:00:00,PLANETARY MIXER CROWN B-30 (P),Faktur Penjualan,1,UNIT,4,Friday,Weekday,10,17,0.588235294117647,Siang,Elektronik Rumah
2025-01-03 00:00:00,PRINTER BLUETOOTH IWARE C80BT (S),Faktur Penjualan,2,UNIT,4,Friday,Weekday,11,17,0.647058823529412,Siang,Printer
2025-01-03 00:00:00,TANG AMPER DIGITAL AC DC TEKIRO (S),Faktur Penjualan,1,UNIT,4,Friday,Weekday,12,17,0.705882352941177,Sore,Elektronik Rumah
2025-01-03 00:00:00,TAS KAIN BESAR TOKO (S),Faktur Penjualan,1,UNIT,4,Friday,Weekday,13,17,0.764705882352941,Sore,Aksesoris/Komponen
2025-01-03 00:00:00,UPRIGHT FREEZER CROWN AD500 (P),Faktur Penjualan,1,UNIT,4,Friday,Weekday,14,17,0.823529411764706,Sore,Elektronik Rumah
